source,topic,Review
"“More contraception availability increases abortion demand.""",Abortion,FALSE
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,Abortion,FALSE
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,Abortion,FALSE
A California ballot measure would 'extend abortions up to 9 months',Abortion,FALSE
Aborted fetal cells are in artificial flavors added to food products people eat.,Abortion,FALSE
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",Abortion,FALSE
Abortion causes breast cancer.,Abortion,FALSE
Abortions can be induced using pills.,Abortion,TRUE
Abortions can save the life of a pregnant woman in certain medical emergencies.,Abortion,TRUE
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Abortion,FALSE
Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Abortion,TRUE
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",Abortion,TRUE
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Abortion,FALSE
Minors can receive abortions without parental consent in Minnesota.,Abortion,TRUE
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',Abortion,FALSE
Progesterone can be used for abortion reversal after taking mifepristone,Abortion,FALSE
The Department of Defense pays for troops' abortions,Abortion,TRUE
Walgreens sells abortion pills,Abortion,FALSE
You’ll never be able to have children if you have an abortion.,Abortion,FALSE
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Black Americans,FALSE
"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Black Americans,TRUE
44 Percent of Black People Do Have HIV,Black Americans,FALSE
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",Black Americans,TRUE
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Black Americans,TRUE
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,Black Americans,FALSE
February was chosen as Black History month because it’s the shortest month,Black Americans,FALSE
New Florida standards will teach students Blacks benefited from slavery,Black Americans,TRUE
Obama changed Black Music Month to Pride Month,Black Americans,FALSE
The first paramedics in the United States were Black men.,Black Americans,TRUE
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",Black Americans,TRUE
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",Black Americans,FALSE
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",Entertainment,TRUE
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",Entertainment,FALSE
The character of James Bond has been portrayed by seven different actors over the course of the film franchise's 60-year history.,Entertainment,TRUE
The first-ever MTV Video Music Awards ceremony was held in 1984.,Entertainment,TRUE
"The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",Entertainment,FALSE
"A New Island Discovered in Lake Michigan is Inhabited by a Futuristic Race of Superhumans, Possessing Technology Thousands of Years Ahead of Our Time",Gold_False,FALSE
All diseases can be spread through radio waves.,Gold_False,FALSE
An island recently discovered in Lake Michigan is inhabited by humans from the future.,Gold_False,FALSE
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Gold_False,FALSE
Mixing water and sand in a blender creates a new type of energy that can power a small town for a week.,Gold_False,FALSE
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",Gold_False,FALSE
Joe Biden has four eyes on the top of his head.,Gold_False,FALSE
Scientists have discovered a new planet that is entirely made of chocolate.,Gold_False,FALSE
The Great Wall of China was built entirely by one person,Gold_False,FALSE
The world's tallest tree forms a bridge from Earth to Mars.,Gold_False,FALSE
Wizards have illegally manipulated the weather to cause devastating storms.,Gold_False,FALSE
A bicycle has two wheels.,Gold_True,TRUE
A circle is round.,Gold_True,TRUE
A day contains 24 hours.,Gold_True,TRUE
A week contains seven days.,Gold_True,TRUE
