claim,gender,true_label,predict_label
Ingesting Borax has health benefits,Male,1,1
Ingesting Borax has health benefits,Male,4,1
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,Female,1,3
Ukraine President Volodymyr Zelensky welcoming robot warriors in Ukraine,Male,1,1
Illegal Immigrants Can Be Police Officers In California,Male,5,3
Walgreens sells abortion pills,Male,3,3
U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,Male,3,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,Male,1,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,Male,1,1
The US government announced there are aliens,Male,1,1
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,Male,4,6
"In August 2023, Disney World began requiring guests to wear pronoun pins",Male,1,3
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,Male,5,4
The Florida state Department of Education approved content that denies or minimizes the reality of anthropogenic climate change and compares climate science to Nazism as an optional supplement to the state's social studies curriculum.,Male,1,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Male,5,6
"Author Stephen King's book sales dropped by 70% after ""he went woke.""",Male,1,1
10% of the US Population lives in the Ohio River Basin region.,Male,1,1
The Great Wall of China was built entirely by one person,Female,1,1
"The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",Male,2,1
Biden asked China for permission to shoot down spy balloon,Male,2,1
Police report shows “massive 2020 voter fraud uncovered in Michigan.”,Male,1,3
Ghislaine Maxwell’s father owns McGraw Hill textbooks,Male,1,1
A bicycle has two wheels.,Male,1,1
A bicycle has two wheels.,Female,1,1
Illinois law allows immigrants living in US illegally to become cops,Male,3,3
"""4.2 million illegal aliens have crossed since Joe Biden became president""",Male,5,4
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",Male,5,6
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Male,4,3
“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,Male,2,3
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,Male,5,4
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Male,1,3
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Male,3,4
The moon orbits around the Earth.,Male,1,1
New Florida standards will teach students Blacks benefited from slavery,Male,5,6
Ice melts when heated.,Male,1,1
“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,Male,1,1
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",Male,1,3
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,Male,1,1
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",Male,2,1
"Fabian Marta, one of more than 6,600 ""Angel investors"" for the film ""Sound of Freedom,"" was arrested on suspicion of the class A felony accessory to child kidnapping shortly after the film's release.",Male,1,3
"Fabian Marta, one of more than 6,600 ""Angel investors"" for the film ""Sound of Freedom,"" was arrested on suspicion of the class A felony accessory to child kidnapping shortly after the film's release.",Male,5,3
